price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
74.0,0,0,0,0,0,2,36,0,3,1,1
254.0,0,1,1,0,0,2,36,3,3,0,1
109.0,0,0,0,0,0,2,36,0,3,1,1
109.0,0,0,1,0,0,2,36,2,3,1,1
144.0,0,0,1,0,0,2,36,0,3,1,1
159.0,0,0,1,0,0,2,36,0,3,1,1
189.0,0,0,1,0,0,2,36,0,3,1,1
139.0,0,0,1,0,0,2,36,0,3,1,1
179.0,0,0,1,0,0,2,36,0,3,0,1
169.0,0,0,1,0,0,2,36,0,3,1,1
154.0,0,1,1,0,0,2,36,9,3,1,0
111.0,0,1,1,0,0,2,36,2,3,1,1
124.0,0,1,1,0,0,2,36,3,3,1,1
64.0,0,1,1,0,0,2,36,3,3,1,1
74.0,0,1,1,0,0,2,36,7,3,1,1
229.0,0,0,1,0,0,2,36,0,3,1,0
219.0,0,0,1,0,0,2,36,3,3,0,0
199.0,0,0,1,0,0,2,36,2,3,1,1
199.0,0,0,1,0,0,2,36,0,3,1,0
99.0,0,1,1,0,0,2,36,0,3,1,2
99.0,0,1,1,0,0,2,36,0,3,1,2
45.0,0,1,1,0,1,1,37,3,1,0,2
85.0,0,1,1,0,1,1,37,3,1,1,2
115.0,0,1,1,0,1,1,37,15,1,0,2
119.0,0,0,0,0,1,1,38,7,7,1,2
112.0,0,0,0,0,0,1,38,0,7,1,1
100.0,0,0,0,0,0,1,38,0,7,1,1
132.0,0,0,0,0,0,1,38,2,7,1,2
109.0,0,1,0,0,0,1,38,2,7,0,2
120.0,0,1,0,0,0,1,38,0,7,1,2
139.0,0,1,0,0,0,1,38,0,7,1,2
149.0,0,1,0,0,0,1,38,0,4,1,2
109.0,0,0,0,0,0,1,38,3,7,0,2
125.0,0,0,1,0,0,1,38,0,7,1,1
109.0,0,0,0,0,0,1,38,0,7,1,1
193.0,0,1,0,0,0,2,39,1,1,0,2
76.0,0,1,1,0,0,2,40,3,1,1,2
53.0,0,1,1,0,1,2,40,7,3,1,2
49.0,0,1,1,0,1,2,40,9,7,1,2
129.0,0,1,1,0,0,2,40,2,7,1,2
39.0,0,1,0,0,1,2,40,18,7,1,2
76.0,0,1,1,0,0,2,40,15,1,1,2
89.0,0,1,1,0,0,2,40,7,1,1,2
79.0,0,1,1,0,1,2,40,7,1,1,2
39.0,0,1,1,0,1,2,40,18,1,1,2
69.0,0,1,0,0,1,2,40,18,1,0,2
45.0,0,1,1,0,1,2,40,3,1,1,2
75.0,0,1,0,0,0,2,40,7,1,0,2
82.0,0,1,1,0,0,2,40,17,1,1,2
