title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
Leopold FC900RBT Star,$149,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC900RBT Two Tone,$139,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC900RBT V2,$155,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC900RBT V2 Coral,$155,"100%,",Plate Mount,yes,no,n/a,no,"Wireless,",no,no
Leopold FC900RBT V2 Graphite,$155,"100%,",Plate Mount,yes,no,n/a,no,"Wireless,",no,no
Leopold FC980C,$259,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Leopold FC980C AECX02,$259,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Leopold FC980M,$195,"95%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Leopold FC980M Vapor,$85,"100%,",Plate Mount,no,no,n/a,no,n/a,no,no
Leopold FC980MBT,$139,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC980MBT Ash,$135,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC980MBT Star,$139,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold FC980MBT Two Tone,$130,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Leopold Kallaite,$209,100%,n/a,no,no,n/a,no,n/a,no,no
Leopold NP900RBT Charcoal,$135,"100%,",PCB Mount,no,no,PCB Mount,no,"Wireless,",no,no
Leopold NP900RBT Two Tone,$135,"100%,",PCB Mount,no,no,PCB Mount,no,"Wireless,",no,no
LingBao K87/K87 Pro,$49,"87%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Lofree 1%,$219,"65%,",n/a,no,no,n/a,no,"Wireless,",no,no
Lofree 1% Lost in Desire,$239,"65%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Lofree 1% Misty,$239,"65%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Lofree 1% Moru,$239,"65%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Lofree Block,$169,"100%,",Gasket Mount,no,yes,n/a,no,"Wireless,",yes,yes
Lofree Block 98,$159,"98%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Lofree Cyberpunk100,$149,"90%,",n/a,no,yes,n/a,no,"Wireless,",no,yes
Lofree DOT Liquid Foundation,$199,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
Lofree Dot Series Foundation,$199,"75%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Lofree EH112S,$139,"75%,",n/a,no,no,n/a,no,"Wireless,",no,no
Lofree EH112S Lipstick,$169,"75%,",n/a,no,no,n/a,no,"Wireless,",no,no
Lofree Edge Carbon Fiber Mg Lightest,$222,"75%,",PCB Mount,no,yes,PCB Mount,no,"Wireless,",no,no
Lofree Edge Low Profile,$199,"75%,",PCB Mount,no,no,PCB Mount,no,"Wireless,",no,no
Lofree Flow,$155,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Lofree Flow Lite,$129,"75%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Lofree Flow Lite100 Low Profile,$109,n/a,Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Lofree Flow Lite84 Low Profile,$99,n/a,Gasket Mount,no,yes,n/a,no,"Wireless,",no,yes
Lofree Flow Lite: Affordable All,$99,"75%,",Gasket Mount,no,no,n/a,no,"Wireless,",no,yes
Lofree Flow100 Low Profile,$169,"100%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Lofree Flow84 Low Profile,$159,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Lofree Foundation,$80,"75%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Lofree Gift Box,$399,"65%,",n/a,no,no,n/a,no,Wireless,no,no
Lofree Liquid Foundation Numpad,$59,n/a,Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Lofree Loflick100/Loflick68 Connection,$129,"65%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Lofree RETURN Retro,$119,"75%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Lofree Smiley,$119,"75%,",n/a,no,yes,n/a,no,"Wireless,",no,no
Lofree TOFU100,$99,"100%,",n/a,no,yes,n/a,no,"Wireless,",no,yes
Lofree TOFU68,$90,"68%,",n/a,no,yes,Alu case,no,"Wireless,",no,yes
Lofree Zero Artz,$139,"75%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
MCHOSE ACE 60 Pro,$49,"60%,",Gasket Mount,yes,no,"Alu case,",yes,"Wired,",no,no
MCHOSE Ace 60,$39,"60%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
MCHOSE Ace 68,$49,"65%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
MCHOSE G75 Pro,$109,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE G75 Pro Structure,$49,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MCHOSE G87,$59,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
MCHOSE G98,$69,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE G98 Pro,$74,"98%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MCHOSE GX87,$139,"80%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE GX87S,$109,"80%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE Jet 75,$59,"75%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wired,",no,no
MCHOSE K87,$69,"80%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE K99,$89,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE K99 V2,$89,"96%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",no,no
MCHOSE X75,$89,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
MCHOSE X75 Thai,$59,"75%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,yes
MCHOSE X75 V2 Office,$89,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
MCHOSE Z75,$95,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
MCHOSE Z75 Metal Top Cover,$79,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
MCHOSE Z75S Metal Top Cover,$79,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MCHOSE Zero75,$139,"75%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
METAPHYUNI PD75M,$109,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
MIIIW Xiaomi ART Series K19,$89,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
MIIIW Xiaomi ART Series Z680,$99,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
MIIIW Xiaomi ART Series Z870,$75,"80%,",n/a,no,no,Alu case,yes,"Wireless,",no,no
MIIIW Xiaomi ART Series Z980,$119,"96%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MIIIW Xiaomi Art Series Z830,$105,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
MIIIW Xiaomi BlackIO 83,$119,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MIIIW Xiaomi POP Series,$56,"65%,",n/a,no,no,n/a,no,"Wireless,",no,no
MIKIT C96 Dimension C,$139,"96%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MIKIT CL80 Lavanderry,$129,"80%,",Plate Mount,no,no,n/a,yes,"Wireless,",no,no
MIKIT CL80 Marmalade,$129,"80%,",Plate Mount,no,no,n/a,yes,"Wireless,",no,no
MIKIT DK65 Currant,$119,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
MIKIT GH96 Adventurer,$139,"96%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MIKIT M65 Evergreen Mini,$119,"65%,",Gasket Mount,no,no,n/a,yes,"Wireless,",no,yes
MIKIT MT80,$129,"80%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,yes
MIKIT T80 Hazel Choc,$129,"80%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,yes
MK Disco,$99,"80%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
MK Duo XT Dose Dual Contact,$94,"60%,",Plate Mount,no,no,n/a,yes,n/a,no,no
MK Fission,$114,"100%,",Plate Mount,no,no,"Alu case,",no,"Wired,",no,no
MK Frozen Llama Typist,$132,"100%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
MK Game 1989,$209,"80%,",Plate Mount,yes,yes,"Alu case,",no,"Wired,",no,no
MK Lemokey L1,$194,"75%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MK LowKey70,$79,"75%,",Plate Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MK MK61,$49,"60%,",n/a,no,yes,n/a,yes,"Wired,",no,no
MK MK72 Amethyst,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK MK72 Hua,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK MK72 Innocence,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK MK72 Obsidian,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK MK72 Pale View,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK MK72 Sage,$99,"70%,",PCB Mount,no,yes,PCB Mount,yes,"Wireless,",no,no
MK Moon KBD SAAG65,$219,"65%,",Plate Mount,no,yes,"Alu case,",no,"Wired,",no,no
MK Night Typist Warm,$104,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
MK One 2 Mini Pro Blackout,$74,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
MK Point65,$179,"65%,",Top Mount,no,yes,"Alu case,",yes,"Wired,",no,no
MK Pulsar PCMK 2 HE,$159,"80%,",Plate Mount,yes,yes,"Alu case,",yes,"Wired,",no,no
MK Shadow Guard,$109,"60%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
MK Shadow Guard Light,$89,"60%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
MK TK101 Number Pad,$69,"98%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MK Typist Type C USB 16,$99,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
MM Studio Class 1800,$380,"100%,",Top Mount,no,no,"Alu case,",no,n/a,no,no
MMkeyboard Class 1800,$320,n/a,Top Mount,no,no,"Alu case,",no,n/a,no,no
MMkeyboard Class80R2,$295,"80%,",Gasket Mount,no,yes,"Alu case,",no,"Wired,",no,no
MMkeyboard MMClass65 V2,$320,"65%,",n/a,no,yes,Alu case,no,"Wired,",no,no
MMkeyboard MMClass80,$345,"80%,",PCB Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Machenike AIR50,$75,"75%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Machenike CK600,$75,"96%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Machenike GK80,$125,"80%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",no,no
Machenike K500,$39,"96%,",n/a,no,yes,n/a,yes,"Wired,",no,no
Machenike K500FB81 Clear,$64,"75%,",Gasket Mount,no,yes,n/a,yes,"Wired,",no,no
Machenike K600G,$104,"96%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Machenike K600SB100W,$107,"96%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Machenike KT68,$115,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
Machenike KT68 Pro,$159,"65%,",n/a,no,yes,n/a,yes,"Wireless,",yes,no
Magicforce Crystal Backlight,$89,"100%,",n/a,no,no,n/a,no,"Wired,",no,no
Magicforce Sublimation Edition,$85,"65%,",n/a,no,no,n/a,no,"Wired,",no,no
Maniac Rabbit Out of Stock Sisyphus65,$299,"65%,",PCB Mount,no,yes,"Alu case,",no,"Wired,",no,no
Matias FK302 Tactile One,$123,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Matias FK302 Tactile Pro,$104,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Matias FK303QBT Laptop Pro,$143,"75%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Matias FK303QPC Mini Quiet Pro PC,$107,"75%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Mechboards,$40,"60%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
Mechboards CFTKB Mysterium V1,$55,75%,n/a,no,no,n/a,no,n/a,no,no
Mechboards Corne Helidox,$160,n/a,PCB Mount,no,yes,PCB Mount,yes,n/a,yes,no
Mechboards Discipline V1,$32,"65%,",n/a,no,no,n/a,no,"Wired,",no,no
Mechboards Ergotravel,$20,n/a,n/a,no,no,n/a,no,n/a,no,no
Mechboards Ferris Sweep,$90,n/a,PCB Mount,no,yes,PCB Mount,no,"Wired,",no,no
Mechboards Gherkin,$25,n/a,n/a,no,no,n/a,no,n/a,no,no
Mechboards Helix,$50,n/a,n/a,no,yes,n/a,no,n/a,no,no
Mechboards Hyper7 R4,$425,n/a,PCB Mount,no,yes,PCB Mount,no,"Wired,",no,no
Mechboards Iris,$129,n/a,n/a,no,yes,n/a,yes,"Wired,",no,no
Mechboards Israfel,$90,n/a,n/a,no,yes,n/a,yes,"Wired,",no,no
Mechboards Lily58,$160,n/a,n/a,no,yes,n/a,yes,n/a,yes,no
Mechboards MBUK Macro Pad,$5,n/a,n/a,no,no,n/a,no,n/a,no,no
Mechboards MBUK Sofle V2,$70,n/a,n/a,no,yes,n/a,no,n/a,yes,yes
Mechboards NCR80 R2 Vintage,$120,"80%,",n/a,no,yes,n/a,no,"Wired,",no,no
Mechboards NIBBLE,$35,"65%,",PCB Mount,no,no,PCB Mount,yes,n/a,no,yes
Mechboards Plaid,$30,"40%,",n/a,no,no,n/a,no,n/a,no,no
Mechboards Reviung41,$35,"40%,",n/a,no,yes,n/a,no,n/a,no,no
Mechboards RoMac Macropad,$7,n/a,PCB Mount,no,no,PCB Mount,no,n/a,yes,yes
Mechboards SPIN Macro Pad,$40,n/a,PCB Mount,no,yes,PCB Mount,yes,"Wired,",no,yes
Mechboards TIDBIT 19Key Numpad,$20,n/a,n/a,no,no,n/a,yes,n/a,yes,yes
Mechboards The Uno V2,$9,n/a,n/a,no,no,n/a,yes,"Wired,",no,no
Mechboards Yampad V2 Numpad,$15,n/a,Sandwich Mount,no,yes,n/a,yes,n/a,yes,no
Mechboards ai03 Soyuz Numpad,$5,n/a,n/a,no,no,n/a,no,n/a,no,no
Mek Studio Geometry70,$246,"70%,",Top Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Meko Blink,$39,"60%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
Meko Push,$44,"65%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek MOJO Pad,$84,n/a,Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek MOJO68 Ember,$199,"65%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek MOJO68 Monster,$229,n/a,Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Made68 HE,$119,"65%,",Tray Mount,yes,yes,n/a,yes,"Wired,",no,no
MelGeek Modern97 Fountain,$99,"100%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Modern97 Nappa,$129,"100%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Modern97 Ocean,$99,"100%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Modern97 Slate,$129,"100%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo,$389,"60%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
MelGeek Mojo68,$129,"65%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo68 Advance,$134,"65%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo84,$219,"75%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo84 Advance,$199,"60%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo84 Vaporwave,$149,"75%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Mojo84 Wasteland,$154,"75%,",Gasket Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Numpad,$89,n/a,Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
MelGeek Pixel Canvas,$249,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Pixel Canvas Brick,$279,"80%,",Plate Mount,yes,no,n/a,yes,"Wireless,",no,no
MelGeek Pixel Christian,$249,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Pixel Christian Brick,$279,"80%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
MelGeek Pixel Palette,$249,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
MelGeek Pixel Palette Brick,$279,"80%,",Plate Mount,yes,yes,n/a,yes,"Wireless,",no,no
Meletrix BOOG75,$189,"75%,",Gasket Mount,yes,no,"Alu case,",no,"Wired,",no,no
Meletrix BOOG75 HE,$229,"75%,",Plate Mount,yes,no,"Alu case,",yes,"Wired,",no,no
Meletrix BOOG75 Shockwave HE,$229,"75%,",Plate Mount,yes,no,"Alu case,",yes,"Wired,",no,no
Meletrix ZOOM,$189,"80%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Meletrix ZOOM EE,$189,"80%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Meletrix ZOOM Faint Blurple,$189,"80%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
Meletrix ZOOM Navy,$189,"80%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,no
Meletrix ZOOM XMas Edition,$199,"80%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Meletrix ZOOM65 V2.5,$199,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix ZOOM65 V3,$189,"65%,",Top Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix ZOOM65 V3 KLE,$189,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wired,",no,no
Meletrix ZOOM65 V3 Lift Collaboration,$209,"65%,",PCB Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix ZOOM75 HE,$199,"75%,",Gasket Mount,yes,no,"Alu case,",no,"Wired,",no,no
Meletrix ZOOM75 X KITSUNE,$259,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix ZOOM98 X COSMIC ODYSSEY,$269,"98%,",n/a,no,no,n/a,no,Wired,no,no
Meletrix ZOOMPAD X KITSUNE,$109,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 Lift Edition,$259,"65%,",Sandwich Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix Zoom65 Olivia,$179,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wired,",no,yes
Meletrix Zoom65 Olivia Light Edition,$209,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Meletrix Zoom65 R2,$159,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Meletrix Zoom65 V2,$175,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V2 Faint Blurple,$185,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V2 Ivory,$175,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V2 Navy,$185,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V2 Teal,$185,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V2.5 EE,$200,"65%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom65 V3 Cupid Edition,$358,"65%,",Top Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom65 V3 Panda Edition,$308,"65%,",n/a,no,yes,Alu case,yes,"Wireless,",yes,no
Meletrix Zoom75,$224,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix Zoom75 EE,$179,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 EE Navy,$199,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 EE Plum,$199,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 EE Teal,$199,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 Edition,$209,"75%,",Gasket Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
Meletrix Zoom75 Flex Cut PCB,$214,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom75 KLE,$229,"75%,",n/a,no,yes,n/a,yes,"Wired,",no,yes
Meletrix Zoom75 KLE Space,$279,"75%,",n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix Zoom75 KLE Strawberry Icecream,$229,"75%,",n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix Zoom75 LCD Edition,$250,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix Zoom75 Navy,$209,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 NonFlex Cut PCB,$214,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom75 Plum,$199,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 Space,$249,"75%,",n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix Zoom75 Strawberry Icecream,$209,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom75 TIGA,$215,"75%,",Top Mount,no,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix Zoom75 TIGA Aquamarine,$215,"75%,",n/a,no,no,Alu case,no,"Wireless,",no,no
Meletrix Zoom75 TIGA Cafe,$215,"75%,",Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix Zoom75 TIGA Forest,$215,"75%,",Top Mount,no,no,"Alu case,",yes,"Wireless,",no,no
Meletrix Zoom75 TIGA Grape,$215,"75%,",Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix Zoom75 TIGA Gunmetal,$215,"75%,",Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix Zoom75 TIGA Strawberry Icecream,$215,"75%,",n/a,no,no,Alu case,no,"Wireless,",no,yes
Meletrix Zoom75 Teacaps Sugar Boba edition,$255,"75%,",n/a,no,yes,n/a,no,n/a,no,no
Meletrix Zoom75 Teal,$199,"75%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix Zoom98,$205,"98%,",Gasket Mount,yes,yes,"Alu case,",yes,"Wireless,",yes,yes
Meletrix Zoom98 EE,$225,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 EE Navy,$215,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 EE Plum,$215,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 EE Strawberry Icecream,$225,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 KLE,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Meletrix Zoom98 KLE Space,$295,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 KLE Strawberry Icecream,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Meletrix Zoom98 SE,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 SE Grape Color,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Meletrix Zoom98 SE Gunmetal Color,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
Meletrix Zoom98 SE Ice,$245,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix Zoom98 SE Space,$265,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",yes,no
Meletrix ZoomPad,$100,n/a,Plate Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix ZoomPad EE Numpad,$101,n/a,Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,yes
Meletrix ZoomPad KLE,$103,n/a,n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix ZoomPad KLE Space,$107,n/a,n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix ZoomPad Space,$109,n/a,n/a,no,yes,n/a,yes,n/a,no,yes
Meletrix ZoomPad TIGA,$105,n/a,Top Mount,yes,yes,"Alu case,",yes,"Wireless,",no,no
Meletrix ZoomPad TIGA Cafe,$105,n/a,Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix ZoomPad TIGA Forest,$105,n/a,Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix ZoomPad TIGA Grape,$105,n/a,Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix ZoomPad TIGA Gunmetal,$105,n/a,Top Mount,no,no,"Alu case,",no,"Wireless,",no,no
Meletrix ZoomPad Teacaps Sugar Boba edition,$105,n/a,n/a,no,no,n/a,no,n/a,no,no
Miel M75,$99,"75%,",Gasket Mount,no,yes,n/a,yes,"Wireless,",no,no
Mistel Air One Ultra,$124,"65%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
Mistel Barocco,$129,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
Mistel Barocco Laser Engraved,$114,"60%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Mistel MD600,$104,n/a,Plate Mount,no,no,n/a,yes,"Wired,",no,no
Mistel MD600 Alpha Alice,$149,"60%,",Plate Mount,no,yes,n/a,yes,"Wireless,",no,no
Mistel MD600 V3,$104,"60%,",Plate Mount,no,no,n/a,yes,"Wired,",no,no
Mistel MD770,$124,n/a,Plate Mount,no,no,n/a,yes,n/a,no,no
Mistel MD770 Glaze,$143,"75%,",Plate Mount,no,no,n/a,yes,"Wireless,",no,no
Mistel Sleeker,$154,"80%,",Plate Mount,no,no,"Alu case,",no,"Wired,",no,no
Mistel X8 Bunny,$109,"100%,",Plate Mount,no,no,n/a,no,"Wireless,",no,no
Mistel X8 Glaze,$109,"100%,",Plate Mount,no,no,n/a,no,"Wired,",no,no
Mistel X8BT V2 Glaze,$118,"100%,",Plate Mount,no,yes,n/a,no,"Wireless,",no,no
